@RELATION Infoplasmid

@ATTRIBUTE att1 numeric
@ATTRIBUTE att2 numeric
@ATTRIBUTE att3 numeric
@ATTRIBUTE att4 numeric
@ATTRIBUTE att5 numeric
@ATTRIBUTE att6 numeric
@ATTRIBUTE att7 numeric
@ATTRIBUTE att8 numeric
@ATTRIBUTE att9 numeric
@ATTRIBUTE att10 numeric
@ATTRIBUTE att11 numeric
@ATTRIBUTE att12 numeric
@ATTRIBUTE att13 numeric
@ATTRIBUTE att14 numeric
@ATTRIBUTE att15 numeric
@ATTRIBUTE att16 numeric
@ATTRIBUTE class {F,P,Q,V}

@DATA
56.370000000, -13.715000000, -15.530000000, -0.000500000, 55.120000000, 2383.640700000, 66.710000000, 53.890000000, 46.420000000, -0.121800000, 49.792371162, -14.470000000, 0.147900000, -15.753000000, -18.505000000, 61.030000000, Q
47.560000000, -14.682000000, -15.637000000, -0.479400000, 54.280000000, 1788.090300000, 45.040000000, 41.160000000, 52.940000000, 0.050400000, 48.698388660, -12.384000000, 0.237100000, -11.814000000, -13.805000000, 35.160000000, P
47.860000000, -11.373000000, -16.506000000, 0.148300000, 56.560000000, 5636.358900000, 46.040000000, 62.850000000, 40.430000000, 0.134500000, 48.627424555, -13.119000000, 0.023900000, -18.507000000, -14.055000000, 40.310000000, P
39.260000000, -14.732000000, -11.961000000, -0.175100000, 43.070000000, 1581.549100000, 42.140000000, 53.490000000, 46.830000000, 0.050200000, 48.012626409, -10.646000000, -0.075100000, -15.458000000, -10.535000000, 49.110000000, V
48.120000000, -17.600000000, -13.235000000, -0.053500000, 45.490000000, 522.338600000, 54.990000000, 59.020000000, 57.410000000, 0.354000000, 49.297766447, -13.449000000, 0.022700000, -16.606000000, -14.956000000, 48.040000000, P
54.110000000, -15.136000000, -12.927000000, 0.229000000, 48.210000000, 1309.376300000, 54.100000000, 52.160000000, 56.100000000, -0.755800000, 48.593533726, -14.202000000, -0.213500000, -16.097000000, -13.631000000, 45.700000000, P
39.610000000, -18.279000000, -11.590000000, 0.280000000, 40.680000000, 362.456900000, 52.400000000, 54.460000000, 63.860000000, -0.010000000, 50.537198602, -13.046000000, -0.355800000, -16.608000000, -14.813000000, 60.130000000, V
54.840000000, -17.963000000, -15.481000000, -0.165700000, 51.640000000, 453.862900000, 52.700000000, 48.670000000, 60.400000000, -0.275600000, 48.072323121, -13.976000000, 0.141500000, -14.121000000, -15.335000000, 47.970000000, Q
48.120000000, -17.557000000, -13.235000000, -0.053500000, 45.490000000, 526.567900000, 54.990000000, 59.870000000, 58.210000000, 0.357000000, 49.297766447, -13.449000000, 0.022700000, -17.255000000, -14.956000000, 45.620000000, P
50.110000000, -11.324000000, -14.625000000, -0.236800000, 54.050000000, 6840.103300000, 38.290000000, 35.300000000, 43.980000000, -0.663300000, 50.154489071, -13.642000000, -0.711500000, -8.504000000, -12.295000000, 49.990000000, F
51.850000000, -12.204000000, -14.755000000, -0.239300000, 52.050000000, 4229.655000000, 51.520000000, 62.780000000, 47.170000000, -0.270700000, 48.880459768, -13.077000000, -0.221300000, -17.302000000, -13.011000000, 42.060000000, P
46.490000000, -15.174000000, -15.184000000, -0.392700000, 53.100000000, 1746.283800000, 47.360000000, 41.990000000, 55.920000000, -0.155000000, 48.579807689, -14.800000000, -0.182100000, -11.545000000, -13.449000000, 43.980000000, P
49.260000000, -16.816000000, -14.235000000, -0.266500000, 53.620000000, 674.944300000, 55.750000000, 46.530000000, 61.970000000, -0.106700000, 44.334366440, -12.811000000, -0.587700000, -13.606000000, -14.330000000, 47.450000000, V
48.120000000, -17.600000000, -13.235000000, -0.053500000, 45.490000000, 522.338600000, 54.990000000, 58.210000000, 57.410000000, 0.354000000, 49.297766447, -13.449000000, 0.022700000, -16.886000000, -14.956000000, 34.970000000, P
53.920000000, -12.174000000, -16.037000000, -0.172000000, 54.700000000, 5228.967000000, 56.920000000, 46.140000000, 46.010000000, -0.680000000, 52.057671862, -14.377000000, 0.062500000, -13.434000000, -15.767000000, 42.350000000, Q
52.290000000, -14.610000000, -15.651000000, -0.350000000, 54.550000000, 1655.152700000, 61.540000000, 47.030000000, 48.430000000, 0.001700000, 48.993048806, -13.344000000, 0.077900000, -12.683000000, -16.503000000, 58.880000000, Q
38.830000000, -16.567000000, -11.905000000, -0.159400000, 43.000000000, 916.297500000, 46.170000000, 40.310000000, 55.110000000, -0.164800000, 49.805750670, -10.953000000, 0.099800000, -13.253000000, -12.984000000, 49.110000000, V
53.780000000, -12.552000000, -15.190000000, 0.153200000, 55.930000000, 3565.215500000, 49.660000000, 48.350000000, 51.230000000, -0.152500000, 50.473202976, -13.330000000, -0.363400000, -14.439000000, -13.634000000, 48.780000000, P
58.610000000, -10.865000000, -12.498000000, 0.456700000, 46.260000000, 9785.397700000, 50.860000000, 48.630000000, 40.080000000, -0.824700000, 48.443688641, -16.446000000, -0.078300000, -12.303000000, -13.457000000, 39.080000000, F
57.880000000, -17.177000000, -15.764000000, -0.245000000, 59.370000000, 656.580300000, 54.290000000, 50.280000000, 61.450000000, 0.212600000, 50.336606476, -15.816000000, -0.323200000, -14.646000000, -15.080000000, 57.920000000, Q
38.510000000, -15.984000000, -12.857000000, 0.246900000, 45.520000000, 964.859700000, 41.390000000, 52.800000000, 53.500000000, -0.155500000, 49.263720263, -10.967000000, -0.265200000, -15.314000000, -11.821000000, 50.170000000, V
54.840000000, -17.963000000, -15.481000000, -0.165700000, 51.640000000, 453.862900000, 52.700000000, 48.670000000, 60.400000000, -0.275600000, 48.072323121, -13.976000000, 0.141500000, -14.121000000, -15.335000000, 47.970000000, Q
48.120000000, -17.600000000, -13.187000000, 0.110300000, 44.370000000, 522.338600000, 54.990000000, 58.210000000, 57.410000000, 0.354000000, 49.297766447, -13.449000000, 0.022700000, -16.886000000, -14.956000000, 46.490000000, P
34.700000000, -15.621000000, -16.278000000, -0.110800000, 53.410000000, 1103.533400000, 43.510000000, 47.650000000, 51.900000000, 0.057400000, 50.796802602, -11.426000000, -0.275700000, -15.604000000, -12.846000000, 52.500000000, Q
41.360000000, -16.834000000, -15.022000000, -0.227800000, 47.010000000, 717.743200000, 42.940000000, 50.970000000, 55.680000000, -0.061500000, 51.075098516, -11.123000000, 0.201400000, -14.347000000, -13.602000000, 46.120000000, Q
47.860000000, -11.373000000, -16.506000000, 0.148300000, 56.560000000, 5636.358900000, 46.040000000, 62.850000000, 40.430000000, 0.134500000, 48.627424555, -13.119000000, 0.023900000, -18.507000000, -14.055000000, 40.310000000, P
